Instancia,Run,PorcentagemContinua
EB-1,1,45.56
EB-1,2,44.28
EB-1,3,50.05
EB-1,4,46.33
EB-1,5,47.25
EB-1,6,33.12
EB-1,7,46.68
EB-1,8,45.67
EB-1,9,47.01
EB-1,10,47.67
EB-1,11,48.45
EB-1,12,47.62
EB-10,1,63.99
EB-10,2,65.56
EB-10,3,66.35
EB-10,4,63.98
EB-10,5,63.67
EB-10,6,64.66
EB-10,7,64.04
EB-10,8,65.13
EB-10,9,63.85
EB-10,10,66.22
EB-10,11,65.13
EB-10,12,66.06
EB-10,13,66.04
EB-11,1,69.95
EB-11,2,66.93
EB-11,3,67.15
EB-11,4,67.26
EB-11,5,69.75
EB-11,6,68.62
EB-11,7,69.26
EB-11,8,67.64
EB-11,9,66.43
EB-11,10,67.17
EB-11,11,66.45
EB-11,12,67.71
EB-11,13,64.71
EB-12,1,64.18
EB-12,2,64.11
EB-12,3,64.83
EB-12,4,63.19
EB-12,5,62.12
EB-12,6,63.44
EB-12,7,62.74
EB-12,8,65.44
EB-12,9,64.67
EB-12,10,63.27
EB-12,11,61.63
EB-12,12,66.11
EB-12,13,65.05
EB-13,1,62.49
EB-13,2,62.00
EB-13,3,58.98
EB-13,4,62.01
EB-13,5,61.80
EB-13,6,60.11
EB-13,7,59.22
EB-13,8,62.34
EB-13,9,60.39
EB-13,10,60.45
EB-13,11,60.75
EB-13,12,62.10
EB-13,13,62.42
EB-14,1,66.06
EB-14,2,64.49
EB-14,3,66.93
EB-14,4,64.96
EB-14,5,64.28
EB-14,6,67.27
EB-14,7,64.46
EB-14,8,64.14
EB-14,9,64.93
EB-14,10,63.11
EB-14,11,66.89
EB-14,12,65.22
EB-2,1,45.78
EB-2,2,43.49
EB-2,3,48.04
EB-2,4,47.38
EB-2,5,46.34
EB-2,6,44.67
EB-2,7,41.80
EB-2,8,48.73
EB-2,9,51.93
EB-2,10,49.58
EB-2,11,50.88
EB-2,12,47.01
EB-3,1,51.04
EB-3,2,47.76
EB-3,3,50.69
EB-3,4,50.99
EB-3,5,49.93
EB-3,6,51.09
EB-3,7,49.19
EB-3,8,48.18
EB-3,9,44.61
EB-3,10,49.17
EB-3,11,45.43
EB-3,12,40.59
EB-4,1,59.83
EB-4,2,56.58
EB-4,3,56.24
EB-4,4,59.21
EB-4,5,59.54
EB-4,6,57.40
EB-4,7,58.36
EB-4,8,60.35
EB-4,9,58.78
EB-4,10,59.41
EB-4,11,58.67
EB-4,12,57.89
EB-4,13,59.82
EB-5,1,48.13
EB-5,2,46.58
EB-5,3,40.19
EB-5,4,45.72
EB-5,5,48.48
EB-5,6,48.70
EB-5,7,46.21
EB-5,8,42.22
EB-5,9,43.98
EB-5,10,46.08
EB-5,11,46.38
EB-5,12,46.11
EB-5,13,44.57
EB-6,1,72.99
EB-6,2,74.74
EB-6,3,72.08
EB-6,4,73.74
EB-6,5,75.32
EB-6,6,73.08
EB-6,7,74.52
EB-6,8,73.75
EB-6,9,73.92
EB-6,10,74.35
EB-6,11,70.86
EB-6,12,74.65
EB-6,13,73.34
EB-7,1,39.82
EB-7,2,40.29
EB-7,3,39.83
EB-7,4,40.21
EB-7,5,39.87
EB-7,6,43.39
EB-7,7,44.66
EB-7,8,41.11
EB-7,9,40.02
EB-7,10,38.89
EB-7,11,39.42
EB-7,12,41.34
EB-7,13,37.78
EB-8,1,66.59
EB-8,2,69.84
EB-8,3,66.74
EB-8,4,66.35
EB-8,5,66.19
EB-8,6,64.80
EB-8,7,67.93
EB-8,8,66.50
EB-8,9,65.88
EB-8,10,65.18
EB-8,11,67.79
EB-8,12,65.60
EB-9,1,69.43
EB-9,2,69.12
EB-9,3,67.88
EB-9,4,68.90
EB-9,5,68.56
EB-9,6,68.04
EB-9,7,67.29
EB-9,8,67.99
EB-9,9,70.39
EB-9,10,68.26
EB-9,11,70.19
EB-9,12,67.10
EB-9,13,69.67
EB-9,14,69.23
