600, fu, -91.92, [-91.92], 281.85, [281.85]
600, jackobs1, -92.61, [-92.61], 442.55, [442.55]
600, jackobs2, -84.51, [-84.51], 499.43, [499.43]
600, dighe1, -78.45, [-78.45], 16.95, [16.95]
600, dighe2, -75.04, [-75.04], 2.93, [2.93]
600, fu, -93.24, [-93.24], 369.06, [369.06]
600, jackobs1, -91.2, [-91.2], 435.51, [435.51]
600, jackobs2, -83.62, [-83.62], 295.78, [295.78]
600, dighe1, -78.45, [-78.45], 16.24, [16.24]
600, dighe2, -75.04, [-75.04], 3.89, [3.89]
600, fu, -91.92, [-91.92], 57.08, [57.08]
600, jackobs1, -92.05, [-92.05], 129.03, [129.03]
600, jackobs2, -84.11, [-84.11], 390.28, [390.28]
600, dighe1, -78.45, [-78.45], 11.44, [11.44]
600, dighe2, -75.04, [-75.04], 1.9, [1.9]
600, fu, -93.24, [-93.24], 376.67, [376.67]
600, jackobs1, -91.91, [-91.91], 580.05, [580.05]
600, jackobs2, -83.78, [-83.78], 168.59, [168.59]
600, dighe1, -78.45, [-78.45], 13.35, [13.35]
600, dighe2, -75.04, [-75.04], 2.76, [2.76]
600, fu, -91.91, [-91.91], 274.75, [274.75]
600, jackobs1, -92.33, [-92.33], 451.5, [451.5]
600, jackobs2, -85.17, [-85.17], 198.83, [198.83]
600, dighe1, -78.45, [-78.45], 6.82, [6.82]
600, dighe2, -75.04, [-75.04], 3.85, [3.85]
600, fu, -91.91, [-91.91], 101.47, [101.47]
600, jackobs1, -91.35, [-91.35], 275.08, [275.08]
600, jackobs2, -84.28, [-84.28], 167.85, [167.85]
600, dighe1, -78.45, [-78.45], 14.99, [14.99]
600, dighe2, -75.04, [-75.04], 2.26, [2.26]
600, fu, -91.91, [-91.91], 100.8, [100.8]
600, jackobs1, -91.49, [-91.49], 295.61, [295.61]
600, jackobs2, -85.17, [-85.17], 280.23, [280.23]
600, dighe1, -78.45, [-78.45], 9.69, [9.69]
600, dighe2, -75.04, [-75.04], 2.61, [2.61]
600, fu, -91.91, [-91.91], 507.75, [507.75]
600, jackobs1, -91.91, [-91.91], 26.91, [26.91]
600, jackobs2, -84.76, [-84.76], 278.88, [278.88]
600, dighe1, -78.45, [-78.45], 22.34, [22.34]
600, dighe2, -75.04, [-75.04], 2.78, [2.78]
