,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,"[1195.52, 1142.185]","[1197.52, 1140.185]","[1196.52, 1127.185]","[1725.52, 1111.185]","[1716.52, 1098.185]","[1754.52, 1097.185]","[1755.52, 1111.185]","[1768.52, 1109.185]","[1768.52, 1118.185]","[1770.52, 1120.185]","[1777.52, 1121.185]","[1776.52, 1122.185]","[1779.52, 1124.185]","[1768.52, 1125.185]","[1768.52, 1148.185]","[1757.52, 1148.185]","[1755.52, 1150.185]","[1755.52, 1162.185]","[1753.52, 1160.185]","[1752.52, 1162.185]","[1746.52, 1148.185]","[1433.52, 1146.185]","[1242.52, 1161.185]","[1257.52, 1169.185]","[1197.52, 1164.185]","[1197.52, 1144.185]","[1195.52, 1142.185]",,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[127.911, 1120.878]","[131.911, 1084.878]","[157.911, 1087.878]","[158.911, 1059.878]","[173.911, 1089.878]","[227.911, 1094.878]","[318.911, 1056.878]","[355.911, 1077.878]","[349.911, 1088.878]","[370.911, 1111.878]","[373.911, 1112.878]","[372.911, 1113.878]","[373.911, 1115.878]","[362.911, 1113.878]","[273.911, 1128.878]","[233.911, 1131.878]","[190.911, 1133.878]","[201.911, 1155.878]","[159.911, 1156.878]","[155.911, 1137.878]","[142.911, 1132.878]","[133.911, 1132.878]","[136.911, 1130.878]","[133.911, 1128.878]","[149.911, 1125.878]","[127.911, 1125.878]","[127.911, 1120.878]",,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[1971.859, 688.74]","[1975.859, 686.74]","[1973.859, 685.74]","[1993.859, 681.74]","[1995.859, 677.74]","[1982.859, 626.74]","[1978.859, 583.74]","[2000.859, 580.74]","[2000.859, 557.74]","[2007.859, 580.74]","[2065.859, 573.74]","[2058.859, 554.74]","[2055.859, 552.74]","[2098.859, 548.74]","[2099.859, 563.74]","[2110.859, 568.74]","[2117.859, 570.74]","[2123.859, 570.74]","[2122.859, 571.74]","[2125.859, 572.74]","[2101.859, 579.74]","[2109.859, 640.74]","[2129.859, 633.74]","[2131.859, 631.74]","[2135.859, 673.74]","[2119.859, 675.74]","[2115.859, 683.74]","[2113.859, 690.74]","[2114.859, 701.74]","[2112.859, 698.74]","[2110.859, 701.74]","[2105.859, 678.74]","[2101.859, 676.74]","[2034.859, 685.74]","[2043.859, 712.74]","[2000.859, 712.74]","[1999.859, 696.74]","[1982.859, 688.74]","[1971.859, 688.74]",,,,,,,,,,,,,,
3,"[1842.452, 133.675]","[1847.452, 132.675]","[1845.452, 130.675]","[1858.452, 133.675]","[1859.452, 131.675]","[1854.452, 113.675]","[1860.452, 70.675]","[1882.452, 73.675]","[1884.452, 71.675]","[1888.452, 50.675]","[1892.452, 75.675]","[1996.452, 93.675]","[1997.452, 61.675]","[1996.452, 59.675]","[2036.452, 72.675]","[2032.452, 87.675]","[2050.452, 102.675]","[2059.452, 103.675]","[2053.452, 104.675]","[2056.452, 106.675]","[2044.452, 104.675]","[2026.452, 105.675]","[2017.452, 133.675]","[2037.452, 133.675]","[2028.452, 174.675]","[2011.452, 170.675]","[2001.452, 184.675]","[1999.452, 192.675]","[1998.452, 188.675]","[1996.452, 188.675]","[1999.452, 181.675]","[1999.452, 169.675]","[1997.452, 167.675]","[1902.452, 146.675]","[1901.452, 153.675]","[1904.452, 171.675]","[1864.452, 162.675]","[1865.452, 156.675]","[1862.452, 143.675]","[1852.452, 135.675]","[1844.452, 133.675]","[1842.452, 133.675]",,,,,,,,,,,
4,"[434.445, 686.413]","[444.445, 688.413]","[484.445, 685.413]","[489.445, 537.413]","[436.445, 507.413]","[441.445, 467.413]","[491.445, 473.413]","[493.445, 449.413]","[497.445, 473.413]","[655.4449999999999, 489.413]","[881.4449999999999, 507.413]","[1073.445, 519.413]","[1236.445, 527.413]","[1661.445, 538.413]","[1662.445, 536.413]","[1652.445, 487.413]","[1694.445, 488.413]","[1693.445, 511.413]","[1737.445, 540.413]","[1742.445, 541.413]","[1741.445, 542.413]","[1743.445, 544.413]","[1692.445, 544.413]","[1691.445, 588.413]","[1724.445, 623.413]","[1694.445, 641.413]","[1688.445, 667.413]","[1688.445, 686.413]","[1686.445, 679.413]","[1684.445, 682.413]","[1685.445, 669.413]","[1679.445, 647.413]","[1569.445, 691.413]","[1490.445, 713.413]","[1387.445, 733.413]","[1317.445, 742.413]","[1244.445, 748.413]","[1175.445, 751.413]","[523.4449999999999, 701.413]","[522.4449999999999, 703.413]","[526.4449999999999, 719.413]","[483.445, 718.413]","[483.445, 705.413]","[451.445, 692.413]","[437.445, 690.413]","[438.445, 688.413]","[435.445, 687.413]","[434.445, 686.413]",,,,,
5,"[454.345, 176.61700000000002]","[457.345, 145.61700000000002]","[482.345, 147.61700000000002]","[484.345, 127.617]","[489.345, 148.61700000000002]","[635.345, 159.61700000000002]","[636.345, 157.61700000000002]","[632.345, 140.61700000000002]","[674.345, 140.61700000000002]","[679.345, 160.61700000000002]","[686.345, 163.61700000000002]","[696.345, 165.61700000000002]","[695.345, 166.61700000000002]","[698.345, 168.61700000000002]","[674.345, 168.61700000000002]","[675.345, 339.617]","[700.345, 337.617]","[698.345, 379.617]","[679.345, 385.617]","[674.345, 397.617]","[674.345, 403.617]","[671.345, 404.617]","[670.345, 379.617]","[668.345, 377.617]","[523.345, 361.617]","[522.345, 363.617]","[525.345, 375.617]","[483.345, 375.617]","[483.345, 358.617]","[475.345, 353.617]","[465.345, 351.617]","[466.345, 350.617]","[462.345, 348.617]","[482.345, 350.617]","[483.345, 237.617]","[454.345, 187.617]","[454.345, 176.61700000000002]",,,,,,,,,,,,,,,,
6,"[479.035, 863.506]","[504.035, 861.506]","[503.035, 837.506]","[512.0350000000001, 862.506]","[1668.035, 802.506]","[1662.035, 776.506]","[1704.035, 775.506]","[1706.035, 792.506]","[1722.035, 798.506]","[1730.035, 799.506]","[1729.035, 800.506]","[1731.035, 801.506]","[1705.035, 805.506]","[1712.035, 981.506]","[1728.035, 979.506]","[1733.035, 1022.506]","[1717.035, 1024.506]","[1714.035, 1029.506]","[1712.035, 1036.506]","[1712.035, 1045.506]","[1709.035, 1048.506]","[1707.035, 1025.506]","[1461.035, 1054.506]","[1346.035, 1065.506]","[1248.035, 1072.506]","[1158.035, 1076.506]","[536.0350000000001, 979.506]","[507.035, 980.506]","[493.035, 959.506]","[498.035, 958.506]","[497.035, 956.506]","[502.035, 959.506]","[507.035, 958.506]","[504.035, 904.506]","[480.035, 904.506]","[479.035, 884.506]","[479.035, 863.506]",,,,,,,,,,,,,,,,
7,"[1492.988, 405.408]","[1517.988, 402.408]","[1519.988, 400.408]","[1518.988, 242.408]","[1506.988, 241.408]","[1501.988, 202.408]","[1519.988, 198.408]","[1520.988, 180.408]","[1524.988, 198.408]","[1598.988, 186.408]","[1673.988, 177.40800000000002]","[1670.988, 152.40800000000002]","[1668.988, 150.40800000000002]","[1711.988, 151.40800000000002]","[1711.988, 166.40800000000002]","[1728.988, 174.40800000000002]","[1737.988, 174.40800000000002]","[1734.988, 176.40800000000002]","[1737.988, 178.40800000000002]","[1710.988, 183.408]","[1712.988, 353.408]","[1727.988, 349.408]","[1729.988, 347.408]","[1733.988, 389.408]","[1716.988, 391.408]","[1710.988, 405.408]","[1710.988, 412.408]","[1707.988, 415.408]","[1707.988, 393.408]","[1705.988, 391.408]","[1556.988, 404.408]","[1562.988, 432.408]","[1519.988, 432.408]","[1518.988, 415.408]","[1500.988, 408.408]","[1494.988, 408.408]","[1493.988, 405.408]","[1492.988, 405.408]",,,,,,,,,,,,,,,
8,"[1781.601, 849.754]","[1807.601, 840.754]","[1783.601, 595.754]","[1808.601, 591.754]","[1831.601, 548.754]","[1831.601, 541.754]","[1848.601, 515.754]","[1840.601, 510.754]","[1854.601, 504.754]","[1857.601, 507.754]","[1881.601, 502.754]","[1889.601, 529.754]","[1895.601, 536.754]","[1909.601, 536.754]","[1907.601, 539.754]","[1904.601, 540.754]","[1925.601, 552.754]","[1922.601, 553.754]","[1924.601, 555.754]","[1891.601, 569.754]","[1892.601, 791.754]","[1912.601, 791.754]","[1916.601, 843.754]","[1863.601, 848.754]","[1868.601, 878.754]","[1870.601, 880.754]","[1808.601, 878.754]","[1809.601, 860.754]","[1790.601, 852.754]","[1783.601, 852.754]","[1784.601, 851.754]","[1782.601, 850.754]","[1781.601, 849.754]",,,,,,,,,,,,,,,,,,,,
9,"[210.636, 391.626]","[215.636, 341.626]","[303.63599999999997, 350.626]","[304.63599999999997, 346.626]","[302.63599999999997, 332.626]","[300.63599999999997, 330.626]","[352.63599999999997, 332.626]","[355.63599999999997, 348.626]","[385.636, 358.626]","[397.636, 360.626]","[396.636, 361.626]","[402.636, 363.626]","[351.63599999999997, 369.626]","[345.63599999999997, 610.626]","[360.636, 611.626]","[369.636, 650.626]","[355.63599999999997, 655.626]","[347.63599999999997, 661.626]","[347.63599999999997, 663.626]","[345.63599999999997, 663.626]","[336.63599999999997, 675.626]","[335.63599999999997, 679.626]","[343.63599999999997, 686.626]","[337.63599999999997, 687.626]","[342.63599999999997, 689.626]","[302.63599999999997, 688.626]","[301.63599999999997, 659.626]","[292.63599999999997, 658.626]","[294.63599999999997, 656.626]","[293.63599999999997, 654.626]","[296.63599999999997, 649.626]","[238.636, 601.626]","[248.636, 601.626]","[241.636, 598.626]","[210.636, 393.626]","[210.636, 391.626]",,,,,,,,,,,,,,,,,
