,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,"[1730.9936361218288, 164.7894466827159]","[1731.6406745356844, 472.79462136467623]","[1755.467389775908, 496.6153698239688]","[1881.306884827091, 496.8857314457159]","[1906.8046745356844, 473.09762136467623]","[1928.8359541827392, 164.80744671389834]","[1928.8380661285748, 146.85590711377856]","[1928.8370147968255, 144.40934047278682]","[1906.7829481586089, 120.80879657549949]","[1886.432996672141, 119.43032962278008]","[1754.71739177094, 120.6243772164581]","[1730.9950147968257, 144.39234047278683]","[1730.9938572129522, 159.1515348590257]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[1208.0519117086149, 507.77729874423346]","[1398.6615031448532, 506.03465791293695]","[1422.5161503602562, 482.3703983779732]","[1422.527466265698, 479.9248280408815]","[1422.608423366683, 461.9734708659272]","[1423.896, 120.45655334223004]","[1423.896, 102.50501361787816]","[1400.2105066410552, 60.07065053272207]","[1397.7649378777728, 60.061939236597794]","[1379.8135050472945, 59.999989193888695]","[1246.5977052570706, 60.02201213721662]","[1220.243, 102.50501361787816]","[1168.3084219322782, 460.8214708594582]","[1168.2827107563228, 466.45935403274336]","[1168.216150360256, 481.2183983779732]","[1187.920766468588, 504.4976689746798]","[1190.3338036590064, 504.89174409782936]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[1878.2549287454144, 547.1105663599305]","[1240.165790803359, 559.1241204591824]","[1216.4189360364253, 587.1851962592165]","[1215.423652112753, 612.0966249185208]","[1216.7553981512224, 689.4919898387778]","[1217.287484777034, 707.4356422623403]","[1217.360446027197, 709.8803719899867]","[1241.1937896750292, 732.9409298013815]","[1255.952725976053, 732.8536398643851]","[1261.5905885182283, 732.8199699229826]","[1668.353871436781, 719.5470072600258]","[1882.9609287454143, 709.8325663599305]","[1906.048127518664, 685.0209203152282]","[1904.9020316921496, 599.1111110926225]","[1902.9682075789308, 574.2549208729718]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[1231.75008136254, 1129.981853600106]","[1250.0225947101408, 1127.958862201108]","[1251.7056062324432, 1125.780513223939]","[1250.1830955797104, 1107.5623015814597]","[1090.659613716958, 364.877921283229]","[1088.963498228649, 363.4229195593443]","[883.9034982286491, 362.0459195593442]","[882.1653403937753, 363.772]","[882.1653403937753, 1123.348]","[883.8785947101409, 1125.073862201108]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[1679.5704484880537, 102.19725228992418]","[1494.7564012697849, 99.42320859581378]","[1476.2744484880536, 100.48425228992416]","[1474.530905181173, 102.40273253955088]","[1476.1023382097435, 120.88073456622732]","[1521.4465424375544, 497.11378842891173]","[1523.1483094333837, 498.6205051992553]","[1675.789309433383, 500.5975051992553]","[1677.5375054249585, 498.8875105895233]","[1681.2815054249586, 103.93951058952332]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[195.3130752766255, 370.25208140935206]","[173.31307527662554, 45.057081409352065]","[45.6993962953545, 45.37340830139896]","[45.02139629535449, 370.365408301399]","[46.748000000000005, 372.0956596062248]","[193.59000000000003, 372.0956596062248]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[363.1600679635644, 412.5039576886657]","[257.3698782051299, 411.2733404028672]","[239.3811963230383, 412.33514096149605]","[236.93997793445095, 412.487085981264]","[234.15134726241945, 1045.77346717431]","[235.9024008480246, 1047.549435090957]","[347.1224008480246, 1047.0844350909574]","[348.8417251105596, 1045.3848260740056]","[351.0347251105596, 981.0998260740056]","[351.0369126306199, 981.0331618807496]","[353.06291263061996, 916.7451618807496]","[353.0649390562478, 916.678076942178]","[354.92293905624774, 852.3860769421781]","[354.9247587519556, 852.3201825240617]","[356.6177587519556, 788.0241825240616]","[356.6193690089026, 787.9599789155382]","[357.9983690089026, 730.0909789155381]","[357.99974571186704, 730.0301851449951]","[359.287745711867, 670.0151851449951]","[359.2890529458032, 669.9504736803407]","[360.5070529458032, 605.6444736803408]","[360.5082297739955, 605.5777663892469]","[361.5592297739955, 541.267766389247]","[361.5602387225397, 541.200665072256]","[362.44323872253966, 476.887665072256]","[362.44406796356446, 476.8209576886657]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[1664.8813108948457, 771.7444950923997]","[1335.5311890050386, 780.4906332789816]","[1273.7807044146334, 838.9093872746596]","[1261.3303136722873, 869.5744368476487]","[1261.329319115153, 887.5352227211072]","[1261.3563682125898, 920.8034558945257]","[1273.7727044146334, 966.3373872746596]","[1314.9201471553683, 1014.3767515027712]","[1334.787248861293, 1027.7865917374495]","[1664.8653108948454, 1033.5884950923996]","[1682.826184928627, 1033.5895925931427]","[1685.2717514689664, 1033.5885697864494]","[1704.575024485788, 1014.3967514409702]","[1704.5761628001665, 1011.9501849125324]","[1704.5774288662624, 993.989310889842]","[1703.6623243931967, 790.9472485172108]","[1685.2877514689665, 771.7465697864495]","[1682.8421849286271, 771.7455925931428]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[2113.1914331948487, 241.6906576961964]","[1999.924692492802, 249.13805804297908]","[1979.1003674772849, 252.2998494556036]","[1976.6836211035195, 252.6751320597486]","[2029.3720942960947, 713.9459600765442]","[2031.576509459272, 715.8073306905167]","[2114.779509459272, 710.8403306905168]","[2117.0295103196377, 708.8079154663167]","[2136.372840396559, 275.59029101977967]","[2136.621910000882, 243.6036596818003]","[2134.18513038181, 243.39773581714695]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[84.35219760047993, 1048.0287909301296]","[88.96805019911106, 1052.5794390526664]","[166.85905019911107, 1052.2194390526663]","[171.4321962333579, 1047.5323330696567]","[186.5381497106774, 433.9099657232633]","[181.93490865390623, 431.446778092784]","[155.48680577070257, 431.2623109023803]","[86.55690865390623, 432.268778092784]","[81.9794161715284, 434.40544338120503]","[81.4324161715284, 494.409443381205]","[81.43181472893664, 494.4874747853138]","[81.05381472893664, 554.4934747853138]","[81.0534330794984, 554.5715035331481]","[80.8444330794984, 614.578503533148]","[80.84427088640275, 614.6569933768488]","[80.80527088640275, 674.6639933768488]","[80.80530198247317, 674.7272472774549]","[80.86830198247317, 713.3032472774551]","[80.86842356694149, 713.3517254845797]","[80.98442356694147, 747.6417254845796]","[80.98469420869928, 747.7022107811601]","[81.31869420869928, 807.7082107811601]","[81.3192422786669, 807.7867005731448]","[81.82324227866691, 867.7917005731448]","[81.82400751745772, 867.8697257339636]","[82.4970075174577, 927.8737257339636]","[82.49799264790987, 927.95175905719]","[83.33999264790987, 987.9527590571902]","[83.34119760047993, 988.0307909301296]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[455.28551397007976, 60.55184100369473]","[306.1183657686702, 64.61089330484552]","[305.659376386717, 359.74499744700955]","[307.4353728808615, 361.47616761078393]","[334.6086106395325, 360.8197454143536]","[361.5741532631231, 360.1502271533319]","[384.6515651493337, 359.55877500083466]","[400.13544732363835, 359.1514328723798]","[414.92819697615374, 358.7548405622129]","[432.417338182449, 358.27113291736606]","[449.039338182449, 357.79513291736606]","[449.0669228104273, 357.7943281544209]","[464.54892281042726, 357.33432815442086]","[466.23408409733486, 355.69026522182344]","[466.7490840973349, 346.5382652218234]","[466.7609279654184, 346.3096312913895]","[467.3019279654185, 334.88063129138953]","[467.3037477753907, 334.8415566667401]","[467.8607477753907, 322.6825566667401]","[467.86238599868767, 322.6462328325888]","[468.4013859986877, 310.5042328325888]","[468.4030965430686, 310.46502354495436]","[468.9220965430686, 298.3560235449544]","[468.92360202422617, 298.320318041976]","[469.4256020242262, 286.214318041976]","[469.427167082338, 286.1758805962039]","[469.912167082338, 274.0408805962039]","[469.9135802774861, 274.00488925753507]","[470.3825802774861, 261.84288925753503]","[470.3840296896239, 261.8045603180751]","[470.83502968962387, 249.63756031807517]","[470.8363485578281, 249.60128787267703]","[471.2703485578281, 237.42828787267703]","[471.27161260661035, 237.3921177908488]","[471.6886126066103, 225.2141177908488]","[471.68974377367, 225.180437473075]","[472.00174377367, 215.70543747307497]","[472.0026374710453, 215.6778464525446]","[472.34763747104535, 204.8468464525446]","[472.3487960591861, 204.80962571022016]","[472.739796059186, 191.94862571022017]","[472.7408575043158, 191.9128935175852]","[473.1138575043158, 179.0548935175852]","[473.114921781346, 179.01725420606832]","[473.468921781346, 166.1642542060683]","[473.4698809370832, 166.12852618840847]","[473.8058809370832, 153.27952618840845]","[473.806858608088, 153.24103516164567]","[474.123858608088, 140.38103516164566]","[474.1247735348421, 140.34276085073745]","[474.4247735348422, 127.38876085073744]","[474.42555059083384, 127.3542031004452]","[474.7095505908338, 114.3342031004452]","[474.71033969450673, 114.29677576556284]","[474.97433969450674, 101.32677576556284]","[474.9750448423754, 101.29090132402608]","[475.2190448423754, 88.41990132402607]","[475.2197219485099, 88.38276748684058]","[475.44472194850994, 75.53376748684057]","[475.4453403062843, 75.49694759334865]","[475.68034030628434, 60.879947593348646]","[473.2347531941258, 60.839225333385215]",,,,,,,,,
