,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,"[971.4921629245636, 368.809]","[693.7916989316255, 343.04884329937386]","[689.2841837996781, 346.40635236627236]","[674.6100468141137, 358.82555376073515]","[665.6586772531804, 377.196197406965]","[665.5129180881515, 396.95183906470385]","[665.6861031258097, 402.5906740467795]","[893.1041272454128, 798.0249824521027]","[904.799037288732, 807.9856163935442]","[946.0980717286932, 808.283]","[971.4921629245636, 808.283]","[982.1591272454128, 797.5599824521026]","[982.1356772531803, 379.531197406965]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[764.778817929663, 706.1203780930989]","[476.028075912194, 729.3075198901516]","[476.1010214112902, 1160.369983227478]","[486.7678370754364, 1171.093]","[512.1619282713068, 1171.093]","[554.2736697353151, 1170.8606749458163]","[565.1560214112902, 1160.8339832274778]","[792.6508974974479, 746.7271610872491]","[792.5050759121939, 726.9715198901517]","[769.2660464406117, 709.4623994653427]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[1820.69484003404, 278.5218509239405]","[1932.9912597910711, 333.1203363167204]","[1937.264661629497, 334.1991590086369]","[2003.46740299445, 334.33708781035295]","[2003.5418598911783, 334.3371292512022]","[2014.1828598911784, 334.3131292512022]","[2014.2752917313217, 334.31259810084094]","[2087.043359054181, 333.6660396369965]","[2091.3028085240094, 332.5675740077508]","[2201.025098607116, 279.674267592546]","[2206.4678072953716, 270.40515626307365]","[2206.533992349081, 162.3740255402683]","[2201.070132914481, 153.09481106874273]","[2089.6146871320743, 86.88113950527496]","[2070.3186871320745, 86.31413950527497]","[2070.0795473925073, 86.30820201560583]","[2050.793547392507, 85.91720201560582]","[2050.5513616096055, 85.91340873091475]","[2031.2793616096053, 85.70040873091475]","[2031.0749399003405, 85.69894475307946]","[2018.2349399003404, 85.65694475307946]","[2018.0851169857328, 85.65688186311534]","[2007.3921169857329, 85.68288186311534]","[2007.2019005841644, 85.68403297883691]","[1987.970900584164, 85.8700329788369]","[1987.7272008263735, 85.87352053016875]","[1968.5192008263737, 86.23752053016875]","[1968.2707868108007, 86.24340333572337]","[1949.089786810801, 86.78840333572336]","[1948.839348884209, 86.7967145549988]","[1929.6883488842088, 87.5237145549988]","[1928.533646787248, 87.81851960843616]","[1909.457646787248, 97.43751960843616]","[1909.263158590469, 97.53660498123682]","[1890.2971585904688, 107.29860498123682]","[1890.1364386272917, 107.38203108587992]","[1876.9224386272915, 114.29903108587992]","[1876.7961383433585, 114.36558201700704]","[1865.5141383433584, 120.34958201700704]","[1865.3668928130132, 120.42828188413672]","[1846.6488928130132, 130.5092818841367]","[1846.460518089971, 130.61172921316188]","[1827.8535180899707, 140.8297292131619]","[1827.6669043123247, 140.9331963555216]","[1809.169904312325, 151.2871963555216]","[1815.335205042292, 269.2838800181189]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[1414.3645149723686, 205.6870960904076]","[1348.3173097423205, 274.7872732563516]","[1348.0724732631356, 327.47214030181595]","[1358.6789720339452, 338.2462215995259]","[1480.6250275643613, 343.89441889582383]","[1537.8694694390783, 342.04225385763357]","[1548.4469189265224, 340.0784245990163]","[1548.951971127126, 331.36753501352933]","[1549.3761769728278, 311.62524695803677]","[1469.6586348149444, 220.4134462650077]","[1459.6473549286193, 209.43439488146583]","[1422.9163528483807, 205.70487772630935]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[1666.9361566365376, 842.31409665297]","[1548.6900198192784, 841.0168986412626]","[1532.1357874039743, 841.1109750934864]","[1523.3104871270714, 841.1652699926315]","[1512.3836182351204, 852.0346075035417]","[1512.2670904401878, 860.8643901295753]","[1512.0594689955458, 877.3989176880598]","[1513.2139064224095, 912.6451459517916]","[1523.7784871270712, 923.3342699926314]","[1641.621076052797, 924.4199854898434]","[1647.2599866563528, 924.4153517100884]","[1667.0161566365375, 924.39609665297]","[1677.7261710296996, 913.6711495351104]","[1677.7542686153706, 893.9149901520509]","[1677.758275964867, 888.2798286483027]","[1677.6726893406776, 853.0775792660521]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[1036.507398998391, 222.4868435781623]","[1029.904650722633, 945.2288307911714]","[1031.9221344984198, 961.6836738137353]","[1059.7301998099736, 974.46369769335]","[1434.619899597962, 977.2596312399168]","[1451.8948889654823, 952.3907983154947]","[1486.9711356218234, 614.5496143499097]","[1487.4229193384465, 605.1281789733983]","[1393.081118678633, 459.2209747853243]","[1216.0802713449434, 246.77297256453588]","[1215.8105327417888, 246.4548180335649]","[1214.0315327417889, 244.4778180335649]","[1213.7985161958943, 244.23104606797364]","[1212.1955161958942, 242.61304606797364]","[1211.93655022906, 242.36459805461985]","[1209.47655022906, 240.12159805461985]","[1209.162838911254, 239.8519377382889]","[1206.5058389112542, 237.69993773828892]","[1206.2104545589582, 237.47331002507372]","[1203.372454558958, 235.4123100250737]","[1203.0787067670133, 235.21010123918973]","[1200.0687067670133, 233.24810123918977]","[1199.7850971783805, 233.0726262620193]","[1196.6140971783805, 231.21262626201928]","[1196.3439583285303, 231.06201503562113]","[1193.0219583285304, 229.30401503562115]","[1192.771453312715, 229.17774474088577]","[1189.296453312715, 227.51174474088575]","[1189.051695800434, 227.4000782957174]","[1185.3256958004338, 225.78507829571743]","[1185.0673701655917, 225.67911843962472]","[1180.4403701655915, 223.88711843962471]","[1071.922045893511, 182.80180248851332]","[1055.4045546045795, 181.38597015279643]","[1037.5636907776177, 205.95031687966076]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[1542.038984132736, 395.6858148143918]","[1532.1885499624873, 775.2953644876143]","[1532.3344458375163, 791.8727832877903]","[1882.5660485254955, 794.9300720248966]","[1899.1429155891012, 794.7311297259034]","[1905.0984025020225, 706.1364144665552]","[1905.007215314944, 696.832529940091]","[1900.0301610084257, 392.00208403548976]","[1700.7257624452936, 387.4663572586023]","[1691.3666380754516, 387.4410876228037]","[1558.07867307896, 388.63695902884473]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[301.3322255109735, 566.3711847866064]","[314.96135648581935, 538.3511975802828]","[312.6344596023683, 521.93725074911]","[276.30418064413004, 425.9711408025205]","[274.46018064413, 421.1211408025205]","[274.38165227879625, 420.9254544775531]","[272.3966522787962, 416.2294544775531]","[272.3131657954331, 416.0413830553049]","[270.62216579543315, 412.40838305530485]","[270.5334510168915, 412.22622646791854]","[268.7454510168916, 408.71322646791856]","[268.6435511102102, 408.5219986729407]","[266.75555111021015, 405.1339986729407]","[266.6413316709402, 404.9381925861218]","[264.65333167094025, 401.67919258612176]","[264.5172021978226, 401.46664568423466]","[262.42320219782255, 398.3496456842347]","[262.2678278783756, 398.1296520199619]","[260.07182787837564, 395.16965201996186]","[259.89324019627566, 394.9411792916983]","[257.60524019627564, 392.1611792916983]","[257.40578551783835, 391.93147172999176]","[255.0377855178384, 389.3454717299918]","[254.8219346305046, 389.1221439125144]","[107.7759123720772, 243.3651273348696]","[91.24992318407342, 244.67805575666705]","[63.075951997899466, 267.22925087740526]","[51.42832692738297, 277.9822410618194]","[74.72833087240774, 551.6341519878769]","[76.47571044791509, 568.1198659336507]","[104.01995281794402, 583.0868490812297]","[120.59735493199985, 583.2346287539822]","[285.61511092674016, 568.43668153933]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[2282.931863382105, 125.620867370005]","[2266.4743902274195, 131.98028984037356]","[2240.599601975344, 475.10166100509093]","[2240.7504711682527, 491.6790352896214]","[2266.9088738857326, 508.2846164197215]","[2300.9474288393308, 518.8075689508678]","[2317.495522944961, 517.8112350941774]","[2332.746536189362, 490.8410346975717]","[2332.595514840342, 474.2636617984987]","[2320.472756507193, 131.48828650465438]","[2299.4954341655252, 126.3138483115994]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[1897.5494446558096, 853.9155166762934]","[1842.2698031991076, 843.927893158108]","[1825.89417880798, 846.5107259989034]","[1811.7256184084576, 855.8035128535498]","[1795.7664831617774, 1119.349714397756]","[1796.14282106499, 1135.9235030251452]","[1822.5119137782067, 1152.4941894923036]","[1860.9240730659303, 1160.3821296011347]","[1877.498981594096, 1160.058854229761]","[1892.963780605283, 1133.7255039437407]","[1897.9141466688163, 870.4895654310332]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
