,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
0,"[1582.233, 1017.41]","[1606.233, 1016.41]","[1603.233, 1002.41]","[1602.233, 1003.41]","[1602.233, 975.41]","[1599.233, 972.41]","[1599.233, 970.41]","[1602.233, 967.41]","[1602.233, 956.41]","[1605.233, 955.41]","[1605.233, 952.41]","[1607.233, 956.41]","[1613.233, 956.41]","[1620.233, 950.41]","[1623.233, 950.41]","[1621.233, 955.41]","[2126.233, 954.41]","[2123.233, 951.41]","[2154.233, 951.41]","[2171.233, 952.41]","[2172.233, 955.41]","[2174.233, 956.41]","[2171.233, 957.41]","[2175.233, 958.41]","[2171.233, 962.41]","[2176.233, 969.41]","[2175.233, 970.41]","[2176.233, 972.41]","[2172.233, 970.41]","[2171.233, 976.41]","[2196.233, 973.41]","[2195.233, 1045.41]","[2174.233, 1048.41]","[2171.233, 1058.41]","[2170.233, 1070.41]","[2169.233, 1069.41]","[2167.233, 1072.41]","[2161.233, 1046.41]","[2159.233, 1044.41]","[1643.233, 1034.41]","[1642.233, 1036.41]","[1652.233, 1058.41]","[1606.233, 1058.41]","[1605.233, 1034.41]","[1583.233, 1032.41]","[1592.233, 1031.41]","[1583.233, 1030.41]","[1599.233, 1027.41]","[1583.233, 1018.41]","[1582.233, 1017.41]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[2274.066, 838.637]","[2302.066, 828.637]","[2308.066, 710.637]","[2311.066, 595.637]","[2303.066, 265.637]","[2278.066, 306.637]","[2279.066, 257.637]","[2303.066, 257.637]","[2302.066, 230.637]","[2304.066, 256.637]","[2306.066, 258.637]","[2328.066, 257.637]","[2327.066, 230.637]","[2377.066, 231.637]","[2365.066, 798.637]","[2385.066, 791.637]","[2387.066, 789.637]","[2387.066, 841.637]","[2367.066, 844.637]","[2363.066, 855.637]","[2363.066, 863.637]","[2360.066, 865.637]","[2359.066, 841.637]","[2347.066, 843.637]","[2349.066, 870.637]","[2299.066, 867.637]","[2300.066, 850.637]","[2282.066, 841.637]","[2275.066, 841.637]","[2276.066, 839.637]","[2275.066, 838.637]","[2274.066, 838.637]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[143.92, 966.463]","[147.92, 964.463]","[144.92, 962.463]","[193.92, 952.463]","[195.92, 950.463]","[193.92, 727.463]","[145.92, 739.463]","[145.92, 688.463]","[181.92, 686.463]","[194.92, 668.463]","[195.92, 644.463]","[202.92, 688.463]","[248.92, 687.463]","[244.92, 634.463]","[296.91999999999996, 638.463]","[294.91999999999996, 662.463]","[338.91999999999996, 688.463]","[345.91999999999996, 688.463]","[342.91999999999996, 690.463]","[344.91999999999996, 692.463]","[293.91999999999996, 701.463]","[291.91999999999996, 703.463]","[276.91999999999996, 927.463]","[321.91999999999996, 915.463]","[321.91999999999996, 966.463]","[293.91999999999996, 968.463]","[270.91999999999996, 1008.463]","[270.91999999999996, 1013.463]","[267.91999999999996, 1013.463]","[268.91999999999996, 986.463]","[265.91999999999996, 966.463]","[239.92, 967.463]","[246.92, 1015.463]","[195.92, 1015.463]","[195.92, 990.463]","[152.92, 966.463]","[143.92, 966.463]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[1968.035, 836.056]","[2024.035, 828.056]","[2036.035, 752.056]","[2053.035, 626.056]","[2067.035, 498.056]","[2056.035, 497.056]","[2021.035, 544.056]","[2021.035, 493.056]","[2057.035, 493.056]","[2070.035, 476.056]","[2073.035, 447.056]","[2072.035, 492.056]","[2130.035, 492.056]","[2125.035, 443.056]","[2176.035, 444.056]","[2177.035, 493.056]","[2199.035, 494.056]","[2176.035, 495.056]","[2199.035, 497.056]","[2176.035, 498.056]","[2174.035, 799.056]","[2224.035, 789.056]","[2224.035, 841.056]","[2198.035, 841.056]","[2174.035, 885.056]","[2174.035, 890.056]","[2171.035, 891.056]","[2167.035, 841.056]","[2065.035, 841.056]","[2064.035, 900.056]","[2065.035, 901.056]","[2014.035, 893.056]","[2017.035, 870.056]","[1973.035, 840.056]","[1969.035, 839.056]","[1970.035, 838.056]","[1968.035, 836.056]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[347.591, 574.626]","[349.591, 543.626]","[398.591, 545.626]","[399.591, 495.626]","[408.591, 522.626]","[591.591, 549.626]","[612.591, 533.626]","[836.591, 514.626]","[838.591, 515.626]","[846.591, 543.626]","[953.591, 536.626]","[935.591, 486.626]","[986.591, 484.626]","[994.591, 513.626]","[1033.591, 531.626]","[1038.591, 531.626]","[1037.591, 532.626]","[1039.591, 534.626]","[988.591, 539.626]","[989.591, 556.626]","[1034.591, 547.626]","[1037.591, 545.626]","[1039.591, 596.626]","[1013.591, 598.626]","[991.591, 641.626]","[991.591, 648.626]","[988.591, 649.626]","[975.591, 601.626]","[971.591, 599.626]","[854.591, 605.626]","[858.591, 656.626]","[807.591, 657.626]","[763.591, 609.626]","[757.591, 608.626]","[758.591, 607.626]","[755.591, 605.626]","[806.591, 596.626]","[815.591, 588.626]","[787.591, 587.626]","[790.591, 581.626]","[788.591, 579.626]","[677.591, 563.626]","[676.591, 587.626]","[677.591, 612.626]","[628.591, 655.626]","[628.591, 662.626]","[626.591, 660.626]","[624.591, 660.626]","[625.591, 658.626]","[596.591, 614.626]","[436.591, 621.626]","[450.591, 668.626]","[452.591, 670.626]","[400.591, 670.626]","[400.591, 645.626]","[355.591, 621.626]","[350.591, 621.626]","[351.591, 620.626]","[349.591, 618.626]","[400.591, 611.626]","[400.591, 596.626]","[398.591, 594.626]","[347.591, 592.626]","[347.591, 574.626]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[47.84, 390.773]","[74.84, 364.773]","[74.84, 356.773]","[65.84, 346.773]","[74.84, 337.773]","[75.84, 317.773]","[91.84, 318.773]","[98.84, 303.773]","[99.84, 294.773]","[102.84, 292.773]","[134.84, 318.773]","[147.84, 317.773]","[141.84, 296.773]","[138.84, 293.773]","[191.84, 294.773]","[190.84, 311.773]","[206.84, 318.773]","[216.84, 318.773]","[213.84, 320.773]","[216.84, 322.773]","[190.84, 328.773]","[191.84, 339.773]","[209.84, 339.773]","[209.84, 350.773]","[174.84, 386.773]","[166.84, 404.773]","[167.84, 405.773]","[214.84, 357.773]","[213.84, 336.773]","[212.84, 335.773]","[263.84, 345.773]","[260.84, 361.773]","[280.84, 373.773]","[287.84, 373.773]","[284.84, 375.773]","[287.84, 377.773]","[274.84, 380.773]","[253.84, 392.773]","[235.84, 485.773]","[245.84, 483.773]","[244.84, 535.773]","[225.84, 535.773]","[220.84, 557.773]","[219.84, 552.773]","[218.84, 553.773]","[220.84, 535.773]","[169.84, 535.773]","[169.84, 553.773]","[156.84, 554.773]","[156.84, 593.773]","[136.84, 596.773]","[134.84, 602.773]","[149.84, 617.773]","[97.84, 616.773]","[97.84, 599.773]","[82.84, 592.773]","[73.84, 592.773]","[75.84, 590.773]","[72.84, 588.773]","[78.84, 587.773]","[79.84, 579.773]","[103.84, 569.773]","[97.84, 562.773]","[65.84, 562.773]","[68.84, 538.773]","[64.84, 534.773]","[56.84, 533.773]","[58.84, 531.773]","[58.84, 528.773]","[48.84, 516.773]","[49.84, 515.773]","[48.84, 514.773]","[54.84, 516.773]","[63.84, 515.773]","[75.84, 478.773]","[81.84, 426.773]","[47.84, 391.773]","[47.84, 390.773]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[1581.232, 705.905]","[1607.232, 705.905]","[1621.232, 464.905]","[1603.232, 464.905]","[1593.232, 472.905]","[1598.232, 424.905]","[1622.232, 426.905]","[1625.232, 402.905]","[1626.232, 425.905]","[1628.232, 427.905]","[1793.232, 443.905]","[1794.232, 442.905]","[1792.232, 440.905]","[1779.232, 437.905]","[1827.232, 428.905]","[1831.232, 446.905]","[1845.232, 448.905]","[1844.232, 449.905]","[1848.232, 451.905]","[1831.232, 451.905]","[1835.232, 469.905]","[1909.232, 521.905]","[1926.232, 523.905]","[1925.232, 532.905]","[1949.232, 549.905]","[1946.232, 550.905]","[1950.232, 552.905]","[1925.232, 550.905]","[1923.232, 554.905]","[1914.232, 682.905]","[1931.232, 682.905]","[1936.232, 682.905]","[1934.232, 723.905]","[1915.232, 725.905]","[1911.232, 735.905]","[1910.232, 745.905]","[1907.232, 746.905]","[1908.232, 727.905]","[1906.232, 722.905]","[1646.232, 712.905]","[1645.232, 725.905]","[1646.232, 732.905]","[1654.232, 737.905]","[1605.232, 734.905]","[1606.232, 717.905]","[1591.232, 709.905]","[1584.232, 708.905]","[1585.232, 707.905]","[1582.232, 705.905]","[1581.232, 705.905]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[1744.863, 100.689]","[1768.863, 98.689]","[1767.863, 75.689]","[1771.863, 89.689]","[1773.863, 99.689]","[1899.863, 92.689]","[2044.863, 88.689]","[2036.863, 66.689]","[2032.863, 65.689]","[2081.8630000000003, 64.689]","[2081.8630000000003, 81.689]","[2096.8630000000003, 88.689]","[2105.8630000000003, 89.689]","[2104.8630000000003, 90.689]","[2107.8630000000003, 92.689]","[2081.8630000000003, 93.689]","[2087.8630000000003, 298.68899999999996]","[2108.8630000000003, 295.68899999999996]","[2112.8630000000003, 287.68899999999996]","[2113.8630000000003, 335.68899999999996]","[2096.8630000000003, 336.68899999999996]","[2089.8630000000003, 352.68899999999996]","[2088.8630000000003, 360.689]","[2086.8630000000003, 360.689]","[2085.8630000000003, 362.689]","[2083.8630000000003, 336.68899999999996]","[1820.863, 346.68899999999996]","[1823.863, 363.689]","[1826.863, 366.689]","[1832.863, 368.689]","[1784.863, 371.689]","[1781.863, 352.68899999999996]","[1768.863, 348.68899999999996]","[1759.863, 347.68899999999996]","[1760.863, 346.68899999999996]","[1756.863, 344.68899999999996]","[1781.863, 342.68899999999996]","[1746.863, 147.689]","[1744.863, 106.689]","[1744.863, 100.689]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[328.166, 332.845]","[334.166, 332.845]","[352.166, 318.845]","[351.166, 298.845]","[329.166, 294.845]","[330.166, 232.845]","[353.166, 231.845]","[353.166, 227.845]","[356.166, 232.845]","[359.166, 232.845]","[385.166, 259.845]","[402.166, 266.845]","[403.166, 265.845]","[365.166, 226.845]","[366.166, 213.845]","[365.166, 212.845]","[363.166, 214.845]","[363.166, 169.845]","[381.166, 166.845]","[385.166, 155.845]","[385.166, 145.845]","[387.166, 148.845]","[389.166, 145.845]","[395.166, 168.845]","[488.166, 165.845]","[481.166, 147.845]","[478.166, 144.845]","[523.1659999999999, 144.845]","[524.1659999999999, 161.845]","[537.1659999999999, 166.845]","[548.1659999999999, 166.845]","[544.1659999999999, 168.845]","[548.1659999999999, 170.845]","[525.1659999999999, 172.845]","[523.1659999999999, 176.845]","[525.1659999999999, 192.845]","[542.1659999999999, 192.845]","[543.1659999999999, 200.845]","[509.166, 240.845]","[510.166, 241.845]","[548.1659999999999, 207.845]","[576.1659999999999, 211.845]","[578.1659999999999, 229.845]","[580.1659999999999, 231.845]","[683.1659999999999, 245.845]","[684.1659999999999, 244.845]","[679.1659999999999, 229.845]","[677.1659999999999, 227.845]","[722.1659999999999, 230.845]","[721.1659999999999, 246.845]","[734.1659999999999, 253.845]","[740.1659999999999, 254.845]","[739.1659999999999, 255.845]","[743.1659999999999, 257.845]","[726.1659999999999, 255.845]","[720.1659999999999, 257.845]","[719.1659999999999, 285.845]","[720.1659999999999, 286.845]","[730.1659999999999, 279.845]","[731.1659999999999, 290.845]","[737.1659999999999, 286.845]","[739.1659999999999, 295.845]","[741.1659999999999, 293.845]","[741.1659999999999, 333.845]","[718.1659999999999, 334.845]","[718.1659999999999, 346.845]","[716.1659999999999, 342.845]","[714.1659999999999, 344.845]","[693.1659999999999, 333.845]","[683.1659999999999, 332.845]","[629.1659999999999, 366.845]","[628.1659999999999, 365.845]","[627.1659999999999, 364.845]","[632.1659999999999, 356.845]","[630.1659999999999, 355.845]","[622.1659999999999, 358.845]","[627.1659999999999, 351.845]","[619.1659999999999, 352.845]","[615.1659999999999, 357.845]","[589.1659999999999, 351.845]","[588.1659999999999, 368.845]","[569.1659999999999, 368.845]","[541.1659999999999, 341.845]","[529.1659999999999, 338.845]","[528.1659999999999, 339.845]","[564.1659999999999, 375.845]","[568.1659999999999, 373.845]","[567.1659999999999, 418.845]","[548.1659999999999, 423.845]","[544.1659999999999, 433.845]","[544.1659999999999, 441.845]","[541.1659999999999, 442.845]","[534.1659999999999, 420.845]","[532.1659999999999, 418.845]","[421.166, 419.845]","[426.166, 438.845]","[428.166, 440.845]","[383.166, 440.845]","[383.166, 424.845]","[368.166, 417.845]","[359.166, 417.845]","[362.166, 415.845]","[359.166, 414.845]","[383.166, 411.845]","[382.166, 376.845]","[365.166, 376.845]","[366.166, 359.845]","[352.166, 358.845]","[351.166, 355.845]","[342.166, 354.845]","[352.166, 351.845]","[351.166, 341.845]","[338.166, 336.845]","[330.166, 335.845]","[331.166, 334.845]","[328.166, 333.845]","[328.166, 332.845]",
9,"[790.348, 359.502]","[816.348, 350.502]","[815.348, 254.502]","[816.348, 229.502]","[798.348, 170.502]","[801.348, 131.502]","[822.348, 133.502]","[826.348, 112.502]","[827.348, 119.502]","[844.348, 134.502]","[878.348, 136.502]","[880.348, 117.502]","[902.348, 118.502]","[910.348, 128.502]","[911.348, 115.502]","[909.348, 113.502]","[912.348, 98.502]","[913.348, 83.50200000000001]","[932.348, 83.50200000000001]","[936.348, 74.50200000000001]","[938.348, 64.50200000000001]","[939.348, 65.50200000000001]","[941.348, 62.502]","[940.348, 69.50200000000001]","[948.348, 85.50200000000001]","[1000.348, 88.50200000000001]","[1034.348, 62.502]","[1037.348, 62.502]","[1032.348, 89.50200000000001]","[1060.348, 91.502]","[1055.348, 93.502]","[1058.348, 95.502]","[1032.348, 98.502]","[1030.348, 100.502]","[1033.348, 102.502]","[1048.348, 104.502]","[1046.348, 118.502]","[1010.348, 146.502]","[993.348, 169.502]","[994.348, 170.502]","[1050.348, 126.502]","[1066.348, 126.502]","[1077.348, 147.502]","[1087.348, 146.502]","[1088.348, 128.502]","[1107.348, 129.502]","[1111.348, 134.502]","[1113.348, 131.502]","[1118.348, 105.502]","[1118.348, 95.502]","[1141.348, 87.50200000000001]","[1143.348, 74.50200000000001]","[1145.348, 77.50200000000001]","[1147.348, 73.50200000000001]","[1146.348, 81.50200000000001]","[1149.348, 87.50200000000001]","[1150.348, 71.50200000000001]","[1149.348, 58.502]","[1148.348, 56.502]","[1195.348, 70.50200000000001]","[1191.348, 86.50200000000001]","[1211.348, 100.502]","[1215.348, 101.502]","[1214.348, 102.502]","[1217.348, 104.502]","[1187.348, 112.502]","[1185.348, 114.502]","[1178.348, 159.502]","[1187.348, 180.502]","[1185.348, 178.502]","[1184.348, 180.502]","[1186.348, 182.502]","[1175.348, 183.502]","[1171.348, 212.502]","[1167.348, 267.502]","[1181.348, 275.502]","[1182.348, 278.502]","[1166.348, 284.502]","[1165.348, 300.502]","[1163.348, 297.502]","[1162.348, 300.502]","[1155.348, 287.502]","[1092.348, 307.502]","[1097.348, 325.502]","[1076.348, 333.502]","[1085.348, 366.502]","[1072.348, 370.502]","[1070.348, 372.502]","[1069.348, 390.502]","[1070.348, 395.502]","[1068.348, 396.502]","[1067.348, 393.502]","[1050.348, 378.502]","[952.348, 408.502]","[946.348, 407.502]","[921.348, 433.502]","[920.348, 432.502]","[918.348, 434.502]","[916.348, 409.502]","[893.348, 409.502]","[893.348, 407.502]","[896.348, 407.502]","[914.348, 392.502]","[897.348, 391.502]","[897.348, 381.502]","[932.348, 340.502]","[938.348, 325.502]","[937.348, 324.502]","[891.348, 375.502]","[862.348, 378.502]","[865.348, 385.502]","[817.348, 386.502]","[817.348, 370.502]","[797.348, 362.502]","[792.348, 362.502]","[793.348, 361.502]","[791.348, 360.502]","[790.348, 359.502]"
