,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,"[200.646, 1031.455]","[226.646, 1031.455]","[240.646, 790.455]","[222.646, 790.455]","[212.646, 798.455]","[217.646, 750.455]","[241.646, 752.455]","[244.646, 728.455]","[245.646, 751.455]","[247.646, 753.455]","[412.646, 769.455]","[413.646, 768.455]","[411.646, 766.455]","[398.646, 763.455]","[446.646, 754.455]","[450.646, 772.455]","[464.646, 774.455]","[463.646, 775.455]","[467.646, 777.455]","[450.646, 777.455]","[454.646, 795.455]","[528.646, 847.455]","[545.646, 849.455]","[544.646, 858.455]","[568.646, 875.455]","[565.646, 876.455]","[569.646, 878.455]","[544.646, 876.455]","[542.646, 880.455]","[533.646, 1008.455]","[550.646, 1008.455]","[555.646, 1008.455]","[553.646, 1049.455]","[534.646, 1051.455]","[530.646, 1061.455]","[529.646, 1071.455]","[526.646, 1072.455]","[527.646, 1053.455]","[525.646, 1048.455]","[265.64599999999996, 1038.455]","[264.64599999999996, 1051.455]","[265.64599999999996, 1058.455]","[273.64599999999996, 1063.455]","[224.646, 1060.455]","[225.646, 1043.455]","[210.646, 1035.455]","[203.646, 1034.455]","[204.646, 1033.455]","[201.646, 1031.455]","[200.646, 1031.455]"
1,"[45.0, 370.976]","[69.0, 368.976]","[68.0, 345.976]","[72.0, 359.976]","[74.0, 369.976]","[200.0, 362.976]","[345.0, 358.976]","[337.0, 336.976]","[333.0, 335.976]","[382.0, 334.976]","[382.0, 351.976]","[397.0, 358.976]","[406.0, 359.976]","[405.0, 360.976]","[408.0, 362.976]","[382.0, 363.976]","[388.0, 568.976]","[409.0, 565.976]","[413.0, 557.976]","[414.0, 605.976]","[397.0, 606.976]","[390.0, 622.976]","[389.0, 630.976]","[387.0, 630.976]","[386.0, 632.976]","[384.0, 606.976]","[121.0, 616.976]","[124.0, 633.976]","[127.0, 636.976]","[133.0, 638.976]","[85.0, 641.976]","[82.0, 622.976]","[69.0, 618.976]","[60.0, 617.976]","[61.0, 616.976]","[57.0, 614.976]","[82.0, 612.976]","[47.0, 417.976]","[45.0, 376.976]","[45.0, 370.976]",,,,,,,,,,
2,"[1421.004, 838.216]","[1423.004, 795.216]","[1448.004, 795.216]","[1447.004, 771.216]","[1449.004, 775.216]","[1453.004, 796.216]","[1528.004, 795.216]","[1526.004, 781.216]","[1523.004, 778.216]","[1517.004, 776.216]","[1566.004, 776.216]","[1569.004, 794.216]","[1580.004, 798.216]","[1591.004, 798.216]","[1588.004, 800.216]","[1591.004, 802.216]","[1566.004, 805.216]","[1568.004, 1011.216]","[1591.004, 1003.216]","[1593.004, 997.216]","[1592.004, 1046.216]","[1572.004, 1051.216]","[1568.004, 1061.216]","[1567.004, 1069.216]","[1564.004, 1071.216]","[1564.004, 1047.216]","[1562.004, 1045.216]","[1496.004, 1045.216]","[1501.004, 1062.216]","[1507.004, 1064.216]","[1458.004, 1066.216]","[1454.004, 1046.216]","[1445.004, 1043.216]","[1432.004, 1043.216]","[1437.004, 1041.216]","[1433.004, 1039.216]","[1453.004, 1038.216]","[1455.004, 1036.216]","[1421.004, 843.216]","[1421.004, 838.216]",,,,,,,,,,
3,"[1967.109, 722.8820000000001]","[1994.109, 718.8820000000001]","[1992.109, 489.882]","[1970.109, 497.882]","[1970.109, 440.882]","[1994.109, 439.882]","[1995.109, 418.882]","[1998.109, 438.882]","[2000.109, 440.882]","[2134.109, 440.882]","[2253.109, 444.882]","[2254.109, 442.882]","[2250.109, 427.882]","[2241.109, 423.882]","[2300.109, 423.882]","[2300.109, 441.882]","[2311.109, 446.882]","[2322.109, 447.882]","[2324.109, 450.882]","[2300.109, 451.882]","[2302.109, 600.8820000000001]","[2323.109, 573.8820000000001]","[2326.109, 563.8820000000001]","[2326.109, 622.8820000000001]","[2306.109, 625.8820000000001]","[2302.109, 637.8820000000001]","[2302.109, 646.8820000000001]","[2299.109, 646.8820000000001]","[2295.109, 622.8820000000001]","[2287.109, 622.8820000000001]","[2221.109, 705.8820000000001]","[2221.109, 716.8820000000001]","[2213.109, 716.8820000000001]","[2197.109, 736.8820000000001]","[2198.109, 730.8820000000001]","[2196.109, 730.8820000000001]","[2195.109, 730.8820000000001]","[2198.109, 718.8820000000001]","[2041.109, 723.8820000000001]","[2044.109, 745.8820000000001]","[2053.109, 749.8820000000001]","[1994.109, 749.8820000000001]","[1991.109, 729.8820000000001]","[1978.109, 725.8820000000001]","[1970.109, 725.8820000000001]","[1969.109, 722.8820000000001]","[1967.109, 722.8820000000001]",,,
4,"[2200.187, 1044.6]","[2226.187, 1038.6]","[2223.187, 864.6]","[2204.187, 857.6]","[2203.187, 800.6]","[2226.187, 798.6]","[2227.187, 777.6]","[2232.187, 799.6]","[2298.187, 797.6]","[2294.187, 773.6]","[2286.187, 771.6]","[2346.187, 772.6]","[2345.187, 790.6]","[2361.187, 796.6]","[2371.187, 796.6]","[2368.187, 798.6]","[2372.187, 800.6]","[2347.187, 804.6]","[2345.187, 806.6]","[2339.187, 998.6]","[2353.187, 995.6]","[2356.187, 991.6]","[2358.187, 985.6]","[2359.187, 1044.6]","[2341.187, 1044.6]","[2338.187, 1049.6]","[2335.187, 1066.6]","[2333.187, 1066.6]","[2332.187, 1066.6]","[2333.187, 1046.6]","[2273.187, 1047.6]","[2276.187, 1068.6]","[2285.187, 1072.6]","[2226.187, 1072.6]","[2226.187, 1054.6]","[2212.187, 1048.6]","[2200.187, 1048.6]","[2204.187, 1046.6]","[2201.187, 1045.6]","[2200.187, 1044.6]",,,,,,,,,,
5,"[1643.007, 829.031]","[1644.007, 798.031]","[1666.007, 798.031]","[1668.007, 796.031]","[1669.007, 777.031]","[1672.007, 788.031]","[1674.007, 798.031]","[1723.007, 798.031]","[1717.007, 781.031]","[1710.007, 779.031]","[1769.007, 777.031]","[1771.007, 796.031]","[1781.007, 799.031]","[1795.007, 799.031]","[1791.007, 801.031]","[1796.007, 803.031]","[1771.007, 808.031]","[1775.007, 905.031]","[1779.007, 999.031]","[1797.007, 993.031]","[1802.007, 983.031]","[1801.007, 1042.031]","[1782.007, 1043.031]","[1778.007, 1055.031]","[1777.007, 1065.031]","[1774.007, 1068.031]","[1771.007, 1042.031]","[1715.007, 1043.031]","[1719.007, 1062.031]","[1728.007, 1066.031]","[1669.007, 1065.031]","[1668.007, 1046.031]","[1654.007, 1041.031]","[1645.007, 1041.031]","[1646.007, 1039.031]","[1643.007, 1038.031]","[1667.007, 1034.031]","[1669.007, 1032.031]","[1670.007, 901.031]","[1668.007, 841.031]","[1648.007, 847.031]","[1643.007, 857.031]","[1643.007, 829.031]",,,,,,,
6,"[944.892, 343.139]","[970.892, 341.139]","[946.892, 106.139]","[946.892, 63.139]","[970.892, 62.139]","[971.892, 45.139]","[973.892, 61.139]","[975.892, 63.139]","[1339.892, 71.13900000000001]","[1340.892, 67.13900000000001]","[1335.892, 55.139]","[1377.892, 52.139]","[1384.892, 71.13900000000001]","[1396.892, 73.13900000000001]","[1395.892, 74.13900000000001]","[1401.892, 76.13900000000001]","[1379.892, 77.13900000000001]","[1390.892, 215.139]","[1396.892, 215.139]","[1418.892, 200.139]","[1418.892, 242.139]","[1403.892, 242.139]","[1394.892, 264.139]","[1395.892, 267.139]","[1392.892, 267.139]","[1391.892, 269.139]","[1388.892, 244.139]","[1386.892, 242.139]","[1351.892, 244.139]","[1182.892, 349.139]","[1181.892, 346.139]","[1180.892, 344.139]","[1182.892, 340.139]","[1008.892, 346.139]","[1011.892, 369.139]","[1013.892, 371.139]","[970.892, 371.139]","[970.892, 355.139]","[953.892, 347.139]","[946.892, 346.139]","[947.892, 345.139]","[945.892, 344.139]","[944.892, 343.139]",,,,,,,
7,"[469.184, 117.817]","[471.184, 86.81700000000001]","[495.184, 86.81700000000001]","[496.184, 66.81700000000001]","[500.184, 87.81700000000001]","[610.184, 90.817]","[831.184, 92.817]","[832.184, 89.81700000000001]","[828.184, 69.81700000000001]","[870.184, 69.81700000000001]","[875.184, 88.81700000000001]","[885.184, 92.817]","[892.184, 93.817]","[891.184, 94.817]","[895.184, 96.817]","[870.184, 97.817]","[872.184, 305.817]","[895.184, 301.817]","[894.184, 344.817]","[878.184, 344.817]","[870.184, 360.817]","[869.184, 367.817]","[867.184, 367.817]","[866.184, 369.817]","[865.184, 343.817]","[537.184, 339.817]","[536.184, 342.817]","[539.184, 361.817]","[498.184, 362.817]","[498.184, 346.817]","[482.184, 338.817]","[475.184, 337.817]","[476.184, 336.817]","[473.184, 334.817]","[497.184, 334.817]","[469.184, 129.817]","[469.184, 117.817]",,,,,,,,,,,,,
8,"[1485.24, 480.711]","[1487.24, 442.711]","[1513.24, 442.711]","[1512.24, 418.711]","[1514.24, 423.711]","[1517.24, 443.711]","[1597.24, 447.711]","[1721.24, 451.711]","[1854.24, 451.711]","[1850.24, 428.711]","[1893.24, 428.711]","[1893.24, 444.711]","[1909.24, 452.711]","[1916.24, 453.711]","[1915.24, 454.711]","[1918.24, 455.711]","[1893.24, 456.711]","[1894.24, 664.711]","[1917.24, 661.711]","[1917.24, 703.711]","[1901.24, 703.711]","[1893.24, 719.711]","[1892.24, 726.711]","[1889.24, 729.711]","[1888.24, 703.711]","[1556.24, 698.711]","[1555.24, 703.711]","[1559.24, 720.711]","[1517.24, 720.711]","[1510.24, 700.711]","[1502.24, 697.711]","[1495.24, 696.711]","[1496.24, 695.711]","[1492.24, 693.711]","[1516.24, 693.711]","[1512.24, 481.711]","[1485.24, 484.711]","[1485.24, 480.711]",,,,,,,,,,,,
9,"[177.277, 259.406]","[192.277, 257.406]","[186.277, 241.406]","[202.277, 235.406]","[202.277, 218.406]","[211.277, 232.406]","[347.277, 184.406]","[349.277, 182.406]","[343.277, 128.406]","[341.277, 126.406]","[383.277, 133.406]","[382.277, 145.406]","[411.277, 160.406]","[415.277, 160.406]","[414.277, 161.406]","[417.277, 163.406]","[399.277, 169.406]","[375.277, 184.406]","[369.277, 226.406]","[384.277, 225.406]","[384.277, 266.406]","[367.277, 266.406]","[361.277, 277.406]","[359.277, 285.406]","[357.277, 285.406]","[356.277, 285.406]","[358.277, 271.406]","[356.277, 266.406]","[232.277, 264.406]","[231.277, 266.406]","[241.277, 283.406]","[245.277, 287.406]","[202.277, 286.406]","[202.277, 282.406]","[199.277, 279.406]","[196.277, 268.406]","[187.277, 263.406]","[180.277, 262.406]","[181.277, 261.406]","[178.277, 259.406]","[177.277, 259.406]",,,,,,,,,
