,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,"[979.2411774321956, 54.35466611275596]","[961.896444001762, 271.19336095513484]","[963.6225779941252, 273.032975890603]","[1177.7329207806808, 367.8680492800434]","[1181.426810688807, 368.94947286607487]","[1435.2868106888072, 377.6824728660749]","[1437.0736586264052, 375.9490951039658]","[1437.1076592624702, 252.83679747768656]","[1437.0736592624703, 45.00579747768657]","[1422.314465028337, 45.008212000081976]","[1416.6755532272175, 45.01063412053683]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[878.369648325405, 425.8227778486151]","[467.6183403950717, 436.0007419089792]","[467.61534039507166, 734.6007419089792]","[469.3286172378129, 736.3308605302082]","[655.4003335681195, 734.9330336311643]","[655.557271201026, 734.9314585734166]","[694.1322712010259, 734.4264585734165]","[694.2177761525552, 734.4251968503577]","[718.0287761525551, 734.0341968503576]","[718.089498149648, 734.0331279373092]","[744.066498149648, 733.5451279373093]","[744.1430875920398, 733.5435748987306]","[791.2280875920399, 732.5185748987308]","[791.3168962083387, 732.516487979548]","[840.3078962083387, 731.280487979548]","[840.3918002681687, 731.2782339877958]","[892.3588002681688, 729.7972339877958]","[894.0751222560939, 728.1040482093607]","[898.5266832109158, 461.1506870855304]","[898.7616368623953, 426.2712339065693]","[896.3169715698491, 426.2118367572897]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[1488.934478222923, 352.9426612375274]","[1911.0534782229229, 346.4926612375274]","[1912.7526596039136, 344.47934458758135]","[1912.7566596039137, 46.2833445875814]","[1897.997465173607, 46.283146607803936]","[1892.3595533415005, 46.28310879529628]","[1490.2016491856114, 52.034692261930864]","[1487.1816491856114, 351.19969226193086]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[911.2116392094106, 372.12462820337794]","[910.8516392094108, 86.44662820337797]","[896.0924564965874, 86.46522713566053]","[890.4545469023547, 86.47377934133476]","[478.5847748911148, 95.81166241230986]","[462.8516409425655, 365.6873972244052]","[461.93915098603, 384.2541491055304]","[463.76377312224207, 386.06482624808433]","[482.29344005261254, 385.57624968298734]","[909.4093742343524, 373.8626062156759]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[1950.5566890775697, 380.6360686987755]","[2025.3946890775696, 701.0320686987754]","[2027.0053161383, 702.3643271934992]","[2194.6903161383, 709.2023271934993]","[2196.4562013005193, 707.8416637712131]","[2304.852587339376, 395.7720730879218]","[2305.5275873393757, 393.3030730879218]","[2305.931891784663, 391.5587764743983]","[2306.411891784663, 389.0447764743983]","[2306.680874088283, 387.25436335745377]","[2306.9608740882827, 384.7093633574538]","[2307.0873110862685, 382.91190210156975]","[2307.1663110862683, 380.35390210156976]","[2307.151203096547, 378.5556223004384]","[2307.029203096547, 375.9986223004384]","[2306.8721376340245, 374.2000293596733]","[2306.5491376340246, 371.6610293596733]","[2306.252804522744, 369.88969147791306]","[2305.731804522744, 367.3836914779131]","[2305.291201603807, 365.6191918764114]","[2304.573201603807, 363.16319187641136]","[2304.007822238273, 361.4756985087246]","[2303.1008222382734, 359.08169850872457]","[2302.3890805451283, 357.4071131735651]","[2301.2950805451283, 355.09311317356514]","[2300.463941299987, 353.50004127258774]","[2299.1919412999864, 351.27904127258773]","[2298.4050538983975, 350.00373711238433]","[2297.4620538983972, 348.58173711238436]","[2296.7693673883628, 347.594646510602]","[2295.7523673883625, 346.22364651060195]","[2294.814539841299, 345.04271885339205]","[2293.1575398412992, 343.091718853392]","[2291.9405737111165, 341.7678895049226]","[2290.1355737111166, 339.9528895049226]","[2288.8233633432674, 338.73281639731346]","[2286.882363343267, 337.06481639731345]","[2285.449661341735, 335.9298012899815]","[2283.381661341735, 334.42180128998154]","[2281.9044233850773, 333.43013212503087]","[2279.7254233850776, 332.08713212503085]","[2278.151215463646, 331.200604262051]","[2275.8732154636464, 330.033604262051]","[2274.2353316098943, 329.27447907095467]","[2271.8723316098944, 328.29047907095463]","[2270.1817251648145, 327.6633769484358]","[2267.7487251648145, 326.86837694843587]","[2266.0131106413664, 326.3760145162743]","[2263.525110641366, 325.7750145162743]","[2261.7632258153817, 325.4219414963617]","[2259.2362258153817, 325.0179414963617]","[2257.54131389341, 324.8114323630804]","[2255.20031389341, 324.6144323630804]","[2253.8589579401596, 324.54109541607494]","[2032.1904730977908, 315.7422893276881]","[1983.045728155177, 353.2662425272896]","[1982.4166312634704, 353.7940853771955]"
5,"[1590.219626802197, 781.6764136354864]","[1588.284288946857, 779.6453640168797]","[1412.3129195860283, 743.6559396279279]","[1409.9699727057464, 743.2792589072001]","[1407.185078614422, 742.8729879898648]","[1404.8282929534168, 742.7255722386436]","[1402.4682981598962, 742.8067795670231]","[1400.1272201232564, 743.115848624016]","[1284.2281574435576, 763.8750249792291]","[1171.8625516553209, 812.332527674434]","[1170.5345516553205, 820.520527674434]","[1170.462497393958, 820.9924897273315]","[1168.9944973939582, 831.2454897273316]","[1168.9306112087177, 831.7236349266194]","[1167.6446112087176, 842.0886349266194]","[1167.5986791120358, 842.4838563676516]","[1166.4566791120358, 853.0208563676516]","[1166.421801864457, 853.3641619387262]","[1165.207801864457, 866.1681619387263]","[1165.179052316638, 866.4933481943661]","[1164.129052316638, 879.2963481943661]","[1164.1041531316018, 879.6259592908847]","[1163.3741531316018, 890.1939592908847]","[1163.3524237865968, 890.5430709122313]","[1162.7694237865967, 901.0640709122312]","[1162.7510568567966, 901.4472830112844]","[1162.2370568567967, 914.1542830112846]","[1162.224940918426, 914.5173246329834]","[1161.829940918426, 929.5363246329836]","[1161.8244856916776, 929.7922306148585]","[1161.2544856916777, 964.6852306148584]","[1161.2528364167215, 964.8026055860428]","[1160.9708364167218, 988.7676055860428]","[1160.96914782266, 989.0017944475125]","[1160.92914782266, 1004.0737944475125]","[1160.929955247083, 1004.3568318460586]","[1161.054955247083, 1019.3098318460586]","[1161.059066366109, 1019.6023849470068]","[1161.5636096489409, 1045.5054895048315]","[1162.963776557289, 1091.0267343193163]","[1265.443121632347, 1140.599297631222]","[1332.567121632347, 1135.934297631222]","[1332.9627678697857, 1135.8601204166555]","[1464.9457678697854, 1094.680120416656]","[1561.770848148968, 1005.8450673930384]",,,,,,,,,,,,
6,"[425.4418648587884, 111.20760957444814]","[335.3585140619201, 55.62241561211523]","[317.40783592547564, 55.44653805028071]","[210.54226363343983, 55.15952706199967]","[182.28485746566912, 85.68250871526581]","[166.89634039377518, 134.334]","[166.89634039377518, 294.581]","[186.2902025941404, 347.94726424191]","[209.73210989903868, 376.8064882993624]","[211.42652045280948, 378.56027732142337]","[292.9485204528095, 380.0662773214234]","[382.1881996353468, 321.16266891777235]","[383.9038648587884, 319.77360957444813]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[208.65120785700032, 777.3416605632056]","[46.75420785700037, 772.5206605632055]","[44.99928472023821, 774.224]","[44.99928472023821, 998.776]","[46.651254819817936, 1000.4796890486688]","[207.89525481981795, 1005.4166890486688]","[209.65060683390936, 1003.7186231935092]","[210.30360683390933, 779.0496231935093]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[1644.1911341894106, 758.7340000368819]","[1642.3011658797202, 760.3580949003981]","[1639.7607066868609, 803.7939667404722]","[1636.4013709949, 861.5347479025249]","[1632.867178455009, 922.5180739576908]","[1627.1198710365716, 1021.9124000691388]","[1623.0818710365716, 1091.9984000691388]","[1624.7038134301572, 1093.824869099658]","[1787.971360293339, 1102.8869986319655]","[1791.913360293339, 1103.0889986319655]","[1791.9471054699486, 1103.0907055867929]","[1793.9301054699486, 1103.1897055867928]","[1794.0005435325177, 1103.1931252433578]","[1797.3075435325177, 1103.349125243358]","[1797.4254420130032, 1103.3544154341894]","[1801.3954420130033, 1103.5234154341897]","[1801.5009523688784, 1103.527689700859]","[1805.479952368879, 1103.680689700859]","[1805.5970251639528, 1103.6849240504666]","[1809.5810251639527, 1103.8199240504666]","[1809.681680438693, 1103.8231372971577]","[1818.459680438693, 1104.0861372971574]","[1818.4979535525772, 1104.0872554597502]","[1831.388953552577, 1104.45425545975]","[1831.4258120840625, 1104.45527832907]","[1845.0018120840623, 1104.82227832907]","[1845.0383753982885, 1104.8232406968414]","[1860.6583753982884, 1105.2232406968417]","[1860.6870908722476, 1105.223959983488]","[1877.6740908722477, 1105.639959983488]","[1877.701140022446, 1105.6406081453615]","[1896.7548415258077, 1106.0871301263398]","[1919.2120217414204, 1106.593555494234]","[1947.1129835058389, 1107.2018985595191]","[1977.043983505839, 1107.8358985595194]","[1978.8151318114913, 1106.2285549829337]","[1994.4666139830651, 884.8244040969773]","[1992.8537072645288, 882.9763274150952]","[1895.1435428296304, 783.5658709119002]","[1893.5882266675735, 782.1758570971534]",,,,,,,,,,,,,,,,,
9,"[279.55059195222674, 1093.943163973368]","[632.3502867053717, 1081.9542770606358]","[634.0519251359256, 1080.1722243570043]","[626.3109410516608, 785.1989189887713]","[623.8657141338483, 785.2226117649783]","[605.8901729905017, 785.4015058345951]","[282.009487393834, 796.0227794528143]","[264.0845981016589, 797.0005945366887]","[261.6424771715147, 797.1342537260414]","[277.7444771715147, 1092.309253726041]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
