,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,"[519.4536775472136, 716.4413871904717]","[388.9926775472137, 719.2293871904716]","[365.4848185982849, 752.174]","[363.6900291696044, 756.3143924016409]","[359.83609603249056, 849.6940622046359]","[359.8321607696657, 854.8901376952169]","[359.81577572323033, 876.8871768489361]","[365.4848185982849, 882.559]","[642.7771675419197, 882.7673286436861]","[648.4547757232303, 877.1021768489361]","[648.4711607696656, 855.105137695217]","[648.4740960324905, 849.9090622046359]","[645.9578964731668, 793.9362964631963]","[642.8991675419197, 788.8953286436862]",,
1,"[487.3891080385034, 500.70585711624295]","[358.3881080385034, 567.668857116243]","[361.0392243191213, 660.7501768489046]","[366.7158322318021, 666.4151538190297]","[644.0091814017151, 666.207]","[649.6772243191213, 660.5351768489046]","[649.6608392159192, 638.5381376952278]","[649.6569039675095, 633.342062204636]","[645.8031747839646, 539.9625834734555]","[644.0091814017151, 535.822]","[620.2616356685528, 514.0465648065294]","[616.5051747839645, 512.5145834734556]",,,,
2,"[300.001709910509, 708.8159696818025]","[95.63115735142549, 708.5860233082839]","[74.07427350817528, 708.5899192773509]","[65.325525945698, 708.5920090317957]","[64.38856239033377, 709.5327915550537]","[64.38740954092964, 718.2767838925685]","[64.38686279188899, 739.8284464517847]","[65.04157187066106, 752.1808167272732]","[65.333525945698, 752.8570090317957]","[131.7597738483309, 815.156005383128]","[132.37157187066106, 815.4038167272731]","[249.59060869938455, 819.2214043276193]","[250.2577738483309, 818.968005383128]","[312.39770991050904, 760.1069696818024]","[312.6596086993846, 759.2204043276193]","[300.8955623903338, 709.5387915550536]"
3,"[903.382180938474, 146.8811006840684]","[716.2885326801503, 136.59085036814864]","[711.3540619880391, 138.217231203657]","[690.4628101281643, 145.1038556109612]","[685.0740732710719, 152.55181859844845]","[685.0740000000001, 161.21299642477595]","[685.0739750607697, 174.54886385435395]","[685.0740000000001, 179.74594006576294]","[719.6592467422666, 204.64278967183623]","[722.5221624853639, 205.75757272550035]","[889.4602610690496, 210.4116083801046]","[903.397180938474, 210.0121006840684]","[907.3182610690496, 204.61560838010465]","[909.053, 179.74594006576294]","[909.053073271072, 152.55281859844845]",
4,"[620.2363010189194, 331.4836802633329]","[383.72930101891944, 331.48968026333284]","[371.9662640470145, 386.5552832633272]","[372.2281941020895, 387.4423668654423]","[434.5408361273947, 451.6686761343181]","[553.0388361273947, 447.8566761343181]","[555.9302141995468, 446.65338383271103]","[623.2602141995468, 383.43038383271096]","[624.6623192955597, 380.1929795222945]","[624.6703192955597, 335.9279795222945]",,,,,,
5,"[282.8324673198497, 160.07185036814863]","[90.06775370093528, 164.86309089056527]","[90.06776143402993, 168.32711629431518]","[90.06792692225554, 186.8600599345633]","[91.80273893095048, 228.09760838010465]","[95.72381906152592, 233.4941006840684]","[109.66073893095049, 233.89360838010464]","[276.5988375146362, 229.23857272550035]","[279.8176481214132, 228.10370599559596]","[292.0501898718357, 218.9668556109612]","[294.0418375146362, 216.19957272550033]","[314.04695012153945, 186.85813614581303]","[314.04675370093526, 164.86109089056526]",,,
6,"[129.8856874645384, 373.081]","[299.44956134743506, 367.8072380027102]","[329.9489953754265, 329.5219202606999]","[329.9607111292593, 324.32585033666817]","[330.009104511711, 302.32885831319976]","[325.9037592252411, 288.0516562157906]","[322.26559655660054, 286.8437296344093]","[302.51899882079675, 280.2936905063937]","[297.167466298556, 278.5191153627494]","[99.60973489998, 286.17]","[92.48110451171095, 301.8208583131997]","[91.55212372099554, 330.51643106296626]","[92.08401286075168, 349.04174061349767]","[92.33299528964388, 357.69842130759673]","[99.60973489998, 373.081]",
7,"[927.9581469720356, 546.9911602403693]","[706.6997348999801, 561.24]","[699.3813988124156, 566.1193885894868]","[699.3444344453859, 598.3752840461319]","[699.3826616055809, 603.5712891108519]","[699.5454515618981, 625.5677319921481]","[706.7047350342013, 641.1676844264965]","[731.342775643209, 641.1652206224356]","[736.980687461475, 641.1639387312538]","[940.3152663481098, 639.843072877593]","[949.402439417407, 623.7277320820218]","[963.4756464218956, 578.2680233083171]","[962.6551532616083, 556.2862856387442]","[957.64926634811, 552.9100728775929]",,
8,"[423.0656874645384, 1027.448]","[592.6295613474351, 1022.1742380027102]","[623.1289953754265, 983.8889202607]","[623.1407111292593, 978.6928503366682]","[623.189104511711, 956.6958583131998]","[619.0837592252411, 942.4186562157906]","[615.4455965566005, 941.2107296344092]","[595.6989988207968, 934.6606905063936]","[590.347466298556, 932.8861153627494]","[392.78973489998, 940.537]","[385.66110451171096, 956.1878583131996]","[384.7321237209955, 984.8834310629665]","[385.26401286075173, 1003.4087406134976]","[385.5129952896439, 1012.0654213075968]","[392.78973489998, 1027.448]",
9,"[273.6131469720355, 564.4161602403693]","[52.35473489998, 578.6650000000001]","[45.0363988124155, 583.5443885894869]","[44.99943444538592, 615.800284046132]","[45.03766160558086, 620.996289110852]","[45.20045156189809, 642.9927319921482]","[52.35973503420133, 658.5926844264966]","[76.99777564320905, 658.5902206224357]","[82.63568746147494, 658.5889387312538]","[285.9702663481099, 657.2680728775931]","[295.05743941740695, 641.1527320820219]","[309.1306464218956, 595.6930233083172]","[308.3101532616083, 573.7112856387442]","[303.30426634810993, 570.335072877593]",,
