,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
0,"[1392.5548541770177, 64.2899004414797]","[812.0998541770177, 70.9059004414797]","[812.1949425920758, 121.8732769858902]","[828.1606713433002, 137.9]","[850.176966912302, 137.9]","[1375.6449152154294, 132.44358969107253]","[1385.5799152154295, 122.65258969107254]","[1392.7437978960431, 80.86688448423675]","[1392.7438061933512, 80.86682632431177]","[1392.5925931006211, 67.60014014829332]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[1928.966283485736, 46.07657883316247]","[1891.786283485736, 79.26057883316247]","[1895.7119093459164, 180.7453529695861]","[1906.609400897334, 191.2171666268339]","[1923.5383179004823, 196.56457594082215]","[2030.3596505938228, 194.99668306705323]","[2037.737535448679, 194.8377172336787]","[2110.128702101096, 188.18853904951675]","[2120.6887146074037, 177.37765647759187]","[2120.5561144695826, 168.54808214141536]","[2120.306062238822, 151.9861356070664]","[2112.706668894951, 118.47151934743992]","[2109.483702101096, 110.88553904951677]","[2053.464839378191, 61.28416525765395]","[2047.2626688949508, 59.19551934743992]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[719.4649632734757, 110.24623279257064]","[596.2919632734759, 114.03623279257064]","[594.7975259983336, 114.64689863058372]","[528.8025259983336, 175.43189863058373]","[530.4406150089318, 243.71486117709944]","[541.0908370754363, 254.437]","[605.6232051576458, 260.3831242125792]","[616.418256629574, 260.5237000320726]","[744.6276996798697, 255.7688302027532]","[755.4376369820236, 245.2047194395634]","[755.5993420106353, 225.4492018678343]","[755.6454149039371, 219.81138446328032]","[749.9189356351425, 153.48855929942812]","[746.2706996798697, 145.2698302027532]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[493.1056154378542, 45.59478085817007]","[421.97061543785424, 47.30978085817007]","[421.1674399941792, 58.449309173522465]","[421.7965095016937, 119.2994805517038]","[422.0621115804215, 132.56436965897294]","[422.2379229274115, 141.3119069172771]","[423.2275129934284, 155.85685886042234]","[438.58475420914226, 157.23626500914315]","[455.1626210883083, 157.1560813485308]","[460.6008240492173, 157.12892763894345]","[477.1503286566997, 155.921]","[492.8559229274115, 139.8969069172771]","[493.50518126367785, 62.168025767771056]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[528.5950490297912, 908.019818020662]","[298.5057782983413, 908.072805348944]","[298.50366757557885, 911.2652387928864]","[298.4987638838794, 927.8290721378144]","[299.4735552788604, 1137.1791588045064]","[310.1879289982851, 1147.8653351263386]","[319.0181443849185, 1147.8329342490658]","[335.58186345059516, 1147.771210363237]","[518.7473113391779, 1111.41351947227]","[540.4620540738665, 1100.6540163645298]","[540.4440714722755, 1080.8947337362008]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[1439.786270258866, 552.9977979564485]","[2028.8992925860864, 552.7167262679213]","[2068.030926957719, 544.3245874125369]","[2156.6548895264723, 458.8888355494231]","[2159.3964204715653, 440.1993683798532]","[2159.763004185358, 424.0348443720879]","[2159.9408340747677, 415.27828496031526]","[2149.320308381435, 403.1413924261439]","[1631.091915464724, 78.32315493603667]","[1630.050685984217, 77.6790359208758]","[1626.9646859842169, 75.8680359208758]","[1625.9369453219758, 75.29545598871773]","[1622.7029453219757, 73.58745598871774]","[1621.7415170569643, 73.10460183819673]","[1618.3735170569644, 71.49860183819672]","[1617.4606603302202, 71.08450052340484]","[1613.9696603302202, 69.58050052340485]","[1613.1146782624137, 69.2298519282323]","[1609.5146782624138, 67.8268519282323]","[1608.6263989082015, 67.49898276012601]","[1603.9813989082015, 65.87898276012601]","[1603.0718551028392, 65.58024200593844]","[1598.2758551028392, 64.10124200593845]","[1597.3838051956734, 63.84332342289009]","[1591.4558051956735, 62.24232342289009]","[1590.5936855087268, 62.02507004266163]","[1584.501685508727, 60.59907004266162]","[1583.765524667799, 60.4378523364389]","[1577.5355246677989, 59.1668523364389]","[1576.879116765444, 59.041610683249765]","[1570.535116765444, 57.91461068324977]","[1569.9749522471325, 57.82133215279676]","[1563.5219522471325, 56.81833215279675]","[1562.9844457473828, 56.74046809665192]","[1554.229445747383, 55.56446809665192]","[1553.7406539076485, 55.503471381747445]","[1544.8666539076482, 54.48047138174744]","[1544.4467237603783, 54.4354787439372]","[1534.3477237603784, 53.4354787439372]","[1533.966356968109, 53.40052086944134]","[1520.446356968109, 52.260520869441336]","[1520.1316438595022, 52.23588771166975]","[1444.8675406866596, 46.74784433987665]","[1444.6299068000894, 49.93188917101389]","[1443.4208051901, 66.43905510880947]","[1426.0001493771535, 517.2378842258552]","[1427.4086017143716, 533.7417280550524]","[1428.1672702948524, 542.5401694010073]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[2005.9828477705692, 930.0275843142016]","[1886.705847770569, 939.9135843142018]","[1888.4085643162423, 1102.5237849209414]","[1897.169886406176, 1112.9478587081965]","[2000.9640303357055, 1140.7545038801186]","[2002.3850303357056, 1141.1135038801183]","[2003.4045117536264, 1141.3287367743542]","[2005.430511753627, 1141.6737367743542]","[2006.5630766604545, 1141.8166297074597]","[2008.320076660454, 1141.9616297074597]","[2119.459934756946, 1150.8554173703012]","[2125.088663946734, 1151.1659214800015]","[2144.8154974527333, 1152.2423335153153]","[2155.546452443939, 1142.1154416287088]","[2164.192586735754, 994.009377509244]","[2164.1941029036675, 993.124600046614]","[2164.203491564887, 984.6007518836428]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[2359.5905002984086, 956.2391108029384]","[2214.802207911716, 969.6444840829788]","[2211.935443861571, 1088.5247621066956]","[2212.421689136629, 1094.1418979978482]","[2214.1475413936737, 1113.8225498424906]","[2225.756837225879, 1124.5100041375945]","[2234.5870942826486, 1124.511910361211]","[2251.1509281652184, 1124.5144074325067]","[2364.645490026279, 1110.3195460233087]","[2374.331295293685, 1099.0716122196134]","[2372.4595694951554, 1079.4042975686932]","[2371.9223921367347, 1073.7920758764]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[2304.176320421116, 239.5426406108685]","[2155.167481266025, 219.74835745831817]","[2142.896642530763, 228.02104447359915]","[2128.123283183619, 292.53006433860673]","[2124.5406644419772, 308.70181260763377]","[2122.631479814125, 317.32377607295695]","[2130.786481266025, 330.1213574583182]","[2139.40824053138, 332.02694466764603]","[2155.582158674877, 335.5997546279159]","[2291.6595240344727, 364.84168387244415]","[2304.209479814125, 357.549776072957]","[2332.601699543321, 285.9356194474227]","[2333.5448202815646, 280.3763553058525]","[2336.846642530763, 260.89804447359916]","[2328.416524034473, 247.1136838724442]","[2319.9874510925433, 244.4791116191697]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[1847.9888485269505, 654.3849524465681]","[1812.8746164350737, 616.1876297836525]","[1793.1311905953517, 615.4778698562305]","[1787.4970985004236, 615.275597711413]","[585.4115732466155, 574.0361228156079]","[548.1953120010257, 581.5808128760968]","[547.2502339109674, 590.3605731016612]","[545.4782520182197, 606.8293520271468]","[541.3716416353675, 830.2084270317564]","[575.9802734293934, 844.425225908395]","[947.3909620183604, 877.4705409626106]","[947.4734408028072, 877.4778540923885]","[975.9004408028072, 879.9088540923884]","[975.9795280432734, 879.91537882549]","[1004.4125280432734, 882.17537882549]","[1004.4996510337083, 882.1820146958448]","[1030.7316510337084, 884.0930146958448]","[1030.8245975299094, 884.0994572840968]","[1054.8585975299093, 885.6804572840969]","[1054.957383850839, 885.6865850176132]","[1078.9963838508393, 887.0875850176133]","[1079.0984675265634, 887.0931392542307]","[1103.1394675265633, 888.3081392542306]","[1103.247627317368, 888.3131623678513]","[1127.287627317368, 889.3311623678513]","[1127.3960947499063, 889.3353103552911]","[1149.2480947499062, 890.081310355291]","[1149.3558063267265, 890.0845488750517]","[1171.2058063267264, 890.6525488750517]","[1171.3178051730713, 890.6549864214876]","[1193.1618051730711, 891.0379864214876]","[1193.2793734141198, 891.0395258330816]","[1215.1173734141198, 891.2285258330817]","[1215.2340224494878, 891.2290216952279]","[1234.8810224494878, 891.2260216952278]","[1234.9963571998735, 891.2255019190982]","[1254.633357199874, 891.0515019190982]","[1254.752155333762, 891.0499163878541]","[1274.379155333762, 890.699916387854]","[1274.503449763282, 890.6971163048331]","[1294.118449763282, 890.163116304833]","[1294.247595826124, 890.1589699200474]","[1313.8475958261242, 889.4339699200473]","[1313.980233390909, 889.4283979306971]","[1333.5632333909089, 888.5073979306972]","[1333.6937673527868, 888.5006131639554]","[1351.084767352787, 887.5106131639554]","[1351.2114299835248, 887.502793835462]","[1368.5834299835249, 886.346793835462]","[1368.7138526711014, 886.3374681645028]","[1386.0678526711015, 885.0104681645028]","[1386.17870532672, 885.0015233800898]","[1397.0127053267197, 884.08152338009]","[1397.0875775118752, 884.0749513762448]","[1405.7485775118753, 883.2899513762447]","[1405.855617330565, 883.2798115033737]","[1423.158617330565, 881.5698115033738]","[1423.3017696849988, 881.5548783913302]","[1440.576769684999, 879.6578783913302]","[1440.7254064278625, 879.6407060937626]","[1457.9694064278624, 877.5497060937626]","[1458.1116905115298, 877.5316705793923]","[1473.1726905115297, 875.5396705793924]","[1473.3103500201776, 875.5207281774454]","[1488.3433500201777, 873.3717281774454]","[1488.4839843623204, 873.3508533647337]","[1503.4849843623203, 871.0418533647337]","[1503.6299109492638, 871.0187231562581]","[1518.597910949264, 868.5447231562582]","[1518.7458198797056, 868.5194143163831]","[1533.6768198797056, 865.877414316383]","[1533.8291096640362, 865.8495481764935]","[1548.7211096640362, 863.0345481764936]","[1548.8770557301168, 863.0041001310942]","[1563.7270557301167, 860.0121001310941]","[1806.3405870378267, 809.694199239201]","[1835.640008733448, 763.3783750312982]","[1847.6588166948104, 679.7771417393379]","[1847.732407063005, 674.1394673942642]",,,,,,,,,,,,,,,,,,,
10,"[480.0153029190483, 595.6113474889713]","[288.3266552952791, 576.7162599172783]","[282.6887435450813, 576.713579315719]","[262.96056778537536, 576.7088165154241]","[251.3302529725486, 587.3823223196416]","[249.7674866796547, 607.076595206879]","[249.3215420278432, 612.6976769853876]","[254.39960123961697, 819.3240230670804]","[263.2366433681962, 829.8457600753942]","[454.6820970458715, 858.0347420808802]","[471.2458861988444, 857.9961672108097]","[480.07026890611814, 857.9735237585057]","[490.2842086537084, 847.1781221774663]","[491.25209357173094, 827.442550938062]","[491.51066659394905, 821.8154996520176]","[489.9022529725486, 606.3133223196417]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
